benchmark,hostname,num_procs,oversubscribed,avg_time,std_dev
all_to_all, Aureolin, 1, 0, 1.537846e-07, 2.961905e-07
all_to_all, Aureolin, 1, 0, 1.181947e-07, 7.738180e-09
all_to_all, Aureolin, 1, 0, 1.166687e-07, 2.959427e-09
all_to_all, Aureolin, 1, 0, 1.170035e-07, 6.721489e-09
all_to_all, Aureolin, 1, 0, 1.200119e-07, 2.055642e-08
all_to_all, Aureolin, 1, 0, 1.259325e-07, 2.760309e-08
all_to_all, Aureolin, 1, 0, 1.202244e-07, 2.679895e-08
all_to_all, Aureolin, 1, 0, 1.277531e-07, 3.060498e-08
all_to_all, Aureolin, 1, 0, 1.176976e-07, 4.050159e-09
all_to_all, Aureolin, 1, 0, 1.163795e-07, 2.726555e-09
all_to_all, Aureolin, 1, 0, 1.165561e-07, 3.346895e-09
all_to_all, Aureolin, 1, 0, 1.220517e-07, 3.255742e-08
all_to_all, Aureolin, 1, 0, 1.246167e-07, 3.083209e-08
all_to_all, Aureolin, 1, 0, 1.242487e-07, 6.827641e-08
all_to_all, Aureolin, 1, 0, 1.178001e-07, 6.957454e-09
all_to_all, Aureolin, 1, 0, 1.213416e-07, 1.287788e-08
all_to_all, Aureolin, 1, 0, 1.343146e-07, 1.692836e-07
all_to_all, Aureolin, 1, 0, 1.284164e-07, 9.591493e-08
all_to_all, Aureolin, 1, 0, 1.369263e-07, 8.465681e-08
all_to_all, Aureolin, 1, 0, 1.235098e-07, 1.193355e-08
all_to_all, Aureolin, 1, 0, 1.181999e-07, 4.842693e-09
all_to_all, Aureolin, 1, 0, 1.182111e-07, 2.095151e-09
all_to_all, Aureolin, 1, 0, 1.167409e-07, 5.144182e-09
all_to_all, Aureolin, 1, 0, 1.170761e-07, 3.502452e-09
all_to_all, Aureolin, 1, 0, 1.278397e-07, 8.146726e-08
all_to_all, Aureolin, 1, 0, 1.176897e-07, 3.146080e-09
all_to_all, Aureolin, 1, 0, 1.246776e-07, 6.999556e-08
all_to_all, Aureolin, 1, 0, 1.178106e-07, 5.149750e-09
all_to_all, Aureolin, 1, 0, 1.248644e-07, 1.257678e-08
all_to_all, Aureolin, 1, 0, 1.181666e-07, 6.607838e-09
all_to_all, Aureolin, 1, 0, 1.163145e-07, 4.939498e-09
all_to_all, Aureolin, 1, 0, 1.157738e-07, 1.369277e-09
all_to_all, Aureolin, 2, 0, 1.487264e-06, 1.760257e-07
all_to_all, Aureolin, 2, 0, 1.707767e-06, 9.998621e-07
all_to_all, Aureolin, 2, 0, 1.622172e-06, 7.075647e-07
all_to_all, Aureolin, 2, 0, 1.473835e-06, 3.588479e-07
all_to_all, Aureolin, 2, 0, 1.468754e-06, 1.446349e-07
all_to_all, Aureolin, 2, 0, 1.571558e-06, 5.092788e-07
all_to_all, Aureolin, 2, 0, 1.728717e-06, 9.084013e-07
all_to_all, Aureolin, 2, 0, 1.508141e-06, 3.799140e-07
